,text
937,"<price>220<rating>91<whiskey>The Balvenie PortWood 21 year old, 40%<review>This is the ultimate PortWood expression from Balvenie and has been finished in 30 year old port pipes. A more vibrant and textured Travel Retail variant is non-chill filtered and bottled at 47.6%. Soft, red grape notes, vanilla, and milk chocolate on the nutty nose. Very discreet smoke. Rich plum flavors in the mouth, dark berries covered in cream, and spicy honey. The finish is long and elegantly drying."
938,"<price>105<rating>90<whiskey>Yellowstone Limited Edition, 52.5%<review>Blends 7 and 12 year old bourbons, and a 7 year wheater, in a beautifully packaged tribute to the old brand. Typical nose—cinnamon Red Hots, milled corn, oaky zest—in balanced harmony. Beautiful stuff on the tongue: warm but not hot, expansive corn sweetness that lightens the cinnamon’s intensity, some clove, some oaky dryness. The warm finish only ends after a long embrace. Pricey for 7 year old bourbon, though; is this the future? Sourced whiskey."
939,"<price>25<rating>78<whiskey>Redemption High Rye Bourbon (Batch 1), 46%<review>Aged “over 2 years” and with over 38% rye in the mashbill (high for bourbon). It’s fresh, youthful, and brisk, with sweet corn, bright fruit, brittle mint, cinnamon, and a dusting of cocoa, leading to a slightly aggressive finish. A bit too youthful, actually, for sipping—it would benefit from a few more years’ aging. Save this one for your next Manhattan. Its sibling, Redemption Rye (of similar age), fares better (84)."
940,"<price>95<rating>89<whiskey>Tomintoul 14 year old, 46%<review>Subtle on the nose, with orchard fruit, barley, honey, and vanilla, becoming more fragrant in time. Quite full-bodied, overtly fruity, with orange rind, red apples, malt, and cocoa powder. Fruit persists in the grassy finish. The higher strength makes this a standout among the Tomintouls."
941,"<price>75<rating>88<whiskey>Wood’s 7 year old Sawatch American Malt (Batch 2), 49%<review>At first, the nose is earthy and roasty, with dried chile, cocoa powder, toasted oak, curing tobacco, and dried clay, but a few drops of water reveal dried jasmine, honeysuckle, and rose petals: a delightful surprise. The palate is savory and earthy with plenty of mole sauce, cocoa powder, charred nuts, and pepper. It’s lengthy on the finish, unfurling into cigar, espresso, and unsweetened cocoa flavors."
942,"<price>90<rating>82<whiskey>Gordon & MacPhail (distilled at Glenlossie), 27 year old, 1978 vintage, cask #1815<review>Firm on the palate and quite mature. Good balance with malty-toffee notes accented by dried oak spices. Additional notes of roasted nuts, tobacco, Earl Grey tea, sandalwood, and a hint of peat and bacon fat. (260 bottles produced.) 
"
943,"<price>83<rating>85<whiskey>Balblair 2004 Sherry Matured, 46%<review>Balblair has released two Travel Retail-exclusive variants of its 2004 vintage, matured in bourbon barrels and sherry casks respectively. The Sherry Matured version was aged in American and Spanish oak sherry butts. It is only available in Asia. Oriental spices, soft leather, and damsons on the nose. Milk chocolate-coated Turkish delight in time. The palate features lively spices, cooking apples, vanilla, medium-sweet sherry, and hazelnuts. Spices persist in the finish, with honey and raisins."
944,"<price>121<rating>86<whiskey>Old Pulteney 1990 Vintage (Cask #4931), 57.8%<review>Fresh, briny, and very appetizing. Mouth-coating vanilla, lightly toasted marshmallow, and a kiss of honey add a soothing balance, while pineapple, nectarine, gentle spice, and subtle seaweed offer intrigue. Old Pulteney has great potential if only given the opportunity. Bottling at cask strength and not chill-filtered really brings out more of the whisky’s subtle complexities. I welcome more single cask, cask-strength Pulteneys in the future. (A Park Avenue Liquor exclusive.)"
945,"<price>55<rating>86<whiskey>Duncan Taylor NC2 (distilled at Balmenach) 2000 9 year old, 46%<review>Young it certainly is. Precocious even, and a pallid-looking youth on first impression, but behind that bland exterior is freshness and life with a fragrance that is very un-Balmenach, all chilled Muscat grapes, melon, even some cucumber. This general perfumed zinginess continues on the tongue, though the weight of the distillate (Balmenach has worm tubs) anchors it well. It’s not about age — it’s about character. Enjoy. "
946,"<price>140<rating>85<whiskey>Box The Early Days (Batch 002), 51.5%<review>Two-thirds malt smoked with Scottish peat, the remaining third is unpeated Viking malt, all filled into first-fill bourbon quarter casks, achieving 30ppm. Peat smoke, lobster pots, pine forests, smoked fish, and some zesty lemons. A beautiful, dense texture of candied peel and sweet lemons; smoke flaring briefly before dying back to a honeyed conclusion. Water picks out an almond and nougat note with lemon sherbet. If you are new to Box, this is a fantastic place to begin. (2,000 bottles) €124"
947,"<price>25899<rating>90<whiskey>Singleton of Dufftown Prima & Ultima 30 year old 1988, 48.8%<review>Dull tropical fruits, followed by emerging vanilla, and more fragrant and perfumed
notes on the nose. Full-bodied, with very sweet citrus fruits on the early palate, which
turn to green berries and dry slowly. Bitter orange, fennel, and oak tannins in the
lengthy finish. Price is for entire Prima & Ultima Collection, of which this whisky is a
part. (469 bottles) £20,000"
948,"<price>60<rating>87<whiskey>Starward, 43%<review>Vanilla pod, dark toffee, fudge, manuka honey, and chocolate-dipped banana bites greet the senses, quickly followed by a palate of tiffin, raspberry jam, damsons, poached pear, slightly bitter cacao, and Nutella scraped across hot toast. Smooth, medium weight. Malty notes emerge, yet sweetness battles to the fore. This is the taste of modern, young Australian whisky: Australian barley, Australian barrels, and matured in the Australian climate at Melbourne’s New World Whisky distillery. Unsurpassed drinkability: it just wants to please. A$83"
949,"<price>35<rating>89<whiskey>The Famous Grouse Winter Reserve, 40%<review>Heather honey, sultry smoke, sherry, and spice make this the ideal hibernation libation. Help see off the darkest months with these dominant orange notes and a supporting cast of crystalized ginger, cinnamon, and nutmeg. A warming taste of red berries, gingerbread, and Christmas spices gives the underside of the tongue a roasting before melting away, leaving a creamy mouthfeel imbued with strands of subtle smoke, barrel char, and spiced orange."
950,"<price>73<rating>83<whiskey>Macduff 16 year old, 46%<review>This single cask from Macduff distillery was distilled in 1997 and is offered non-chill filtered and with natural color. Melons, lemon, a hint of ozone, and a suggestion of warm steel on the nose. The palate is supple and fruity, with ginger, white pepper, and developing vanilla notes. The finish is medium in length, nutty, with citrus fruits. (Exclusive to Robertson’s, Pitlochry, Perthshire) £50"
951,"<price>110<rating>87<whiskey>Sons of Erin 15 year old, 46%<review>Bourbon barrel matured, then finished in apple brandy casks as a limited edition, this is more malty than their regular bottlings, with aromas of melon, lemon, vanilla, sour gooseberry, and faint banana custard. It’s thicker texture rewards with sweet fudge, vanilla, ripe banana, hints of pecan, and spice, though it’s bedded down within the dessert flavors. A lengthy finish of lemon curd."
952,"<price>35<rating>85<whiskey>Ranger Creek Rimfire, 43%<review>A “mesquite smoked Texas single malt whiskey,” this is a distillation of Ranger Creek’s Mesquite Smoked Porter. If you’re expecting to get shot out of the saddle, surprise: the aroma is quite delicate, with light mesquite, malt, melon, and butterscotch. The mesquite strikes first in the mouth—ashy, drying, a bit medicinal—followed by the cooler, sweeter malt and melon, and a hint of the chocolate malts in the porter. Another good young (6 months) whiskey from Ranger Creek. Price is per 375ml."
953,"<price>140<rating>87<whiskey>BenRiach 20 year old, 46%<review>The most richly textured and complex of the unpeated expressions. Base notes of honeyed malt and creamy vanilla are complemented by citrus fruit (lemon, tangerine), coconut, bitter chocolate, exotic wood shavings, and a hint of assorted nuts. Polished oak finish."
954,"<price>36<rating>85<whiskey>Strathcolm 8 year old, 40%<review>Spicy from the start, this has aromas of earthy whole spices, rolled marzipan, new books, and bakery shelves. Before it lays down the spices, it shows its hand with sweet vanilla, cereal notes, flapjacks, and almond paste on the palate. The finish has toasted oats, golden syrup, and spiciness. Decent whisky, though the sweetness is pegged back, and the other Strathcolm grains show greater personality. (3,000 bottles)"
955,"<price>200<rating>92<whiskey>Jefferson’s Presidential Select 16 year old Twin Oak, 47%<review>Honeysuckle, dandelions, and roses start this floral superhighway that takes a brief turn toward grain in many forms, from baked breads to boiling oats. Then earth and fruit meet for a delightful combination that walks toward the sweeter side, with hints of caramel chew, vanilla cake batter, pecan pie, chocolate-covered raisins, cassis, black currant, and povitica. Its long finish introduces a lovely roasted walnut note. (Less than 10,000 bottles)"
956,"<price>35<rating>80<whiskey>J.R. Ewing Private Reserve 4 year old, 40%<review>A straightforward bourbon that takes few risks but also offers few rewards. You’ll find a mélange of orange, apricot, sweet corn, vanilla, soft spice and honey. Light, youthful finish, with a kiss of oak. Sourced whiskey."
957,"<price>50<rating>88<whiskey>Woodford Reserve Blended Rye, 45.2%<review>This whiskey is bananas. Is it banana pudding atop vanilla wafers or warm Bananas Foster melting into vanilla ice cream? It’s hard to say, but the lovely banana-vanilla combination dominates until baked pears, pumpkin bread, rye, and baking spices appear. A medium to long finish brings a bright cherry note. Price is per 375 ml."
958,"<price>55<rating>84<whiskey>Sonoma County Cherrywood Rye (Batch 1), 48%<review>A 1 year old whiskey made from rye, wheat, and cherrywood-smoked malt. An interesting sweet/sour nose, with Montmorency cherry, sweet grain, bitter rye, and a slap of fresh leather jacket. Follows through in the mouth, but more integrated, a sweet cocktail of neat whiskey with only the slightest hint of “smoke.” The leather slips in at the finish and wraps things up neatly. A bit overly sweet, a bit simple, but good."
959,"<price>50<rating>87<whiskey>Crooked Water Old Hell Roaring Double Barreled Straight, 45%<review>This undergoes secondary maturation in heavily toasted and smoked new charred oak barrels, but you wouldn’t know it from the delicate nose, redolent with white flowers, Asian pear, cardamom, toasted almonds, and milk chocolate; the only hint is a bit of burnt sugar and dry leaves. On the palate, those special barrels reveal themselves with flavors of cedar, black pepper, chipotle, and barbecue potato chips, as well as apple, pecan, and milk chocolate. The finish has chili-chocolate and long, polished oak."
960,"<price>65<rating>85<whiskey>St. George Baller Single Malt, 47%<review>Hugely floral and perfumed on the nose, with rose petals, violet candies, and dried orange peel. This is the Gewürztraminer of American single malts—sweet lychee, laced with sachet aromas that explode as if opening Grandma’s dresser drawer. The palate is more tropical; dried pineapple, canned peach syrup, and spice. This could be polarizing, but it’s utterly captivating and worth a try."
961,"<price>200<rating>89<whiskey>Mortlach 20 year old Cowie’s Blue Seal, 43.4%<review>Named in honor of the family that owned Mortlach for many years, this was matured in sherry wood, like its 16 year old sibling. Milk chocolate, nuts, and coffee on the nose, with developing meaty aromas. Soft and slightly waxy on the palate, with almonds, apricots, and allspice. Milk chocolate and spicy orange in the finish."
962,"<price>90<rating>83<whiskey>The Macallan Whisky Maker<review>Full gold. Oily in texture, with ripe barley, front-loaded toffee, honey-drenched citrus, fallen orchard fruit, and a full complement of spice (cinnamon, nutmeg, and clove). Gripping, resinous, slightly hot finish. The flavors don’t meld together here as well as the other three expressions, but it’s still a fun ride. (Price is per 1 liter)."
963,"<price>60<rating>88<whiskey>Duncan Taylor 11 year old Dimensions Cask Strength 2008 (distilled at Miltonduff), 53%<review>Lime syrup, grapefruit peel, Smarties candy, ripe peach, and orange peel zested over vanilla frosting make for an attractive nose. Fruity and tangy with green apple, lemon, vanilla, burnt oak, clove, and pepper, developing more candy sweetness than fruit flavors in the latter phases. As the spiciness blooms, extra layers of vanilla and toffee are added. A tangy fruit finish with a citrus edge."
964,"<price>90<rating>93<whiskey>Jefferson’s Presidential Select, 18 year old, Batch #27, 47%<review>I’ve tasted several batches of this whiskey (made at the old Stitzel-Weller distillery), from the inaugural Batch #1 when it was a 17 year old, to this new release. It’s not surprising that they taste progressively older. My favorite is still the first batch, but this whiskey holds up nicely and shows a similar flavor profile with a bit more wood influence: blackberry jam, nutty toffee, nougat, creamy vanilla, cinnamon, and a touch of polished oak on the finish. Nice texture, too, with good viscosity and grip on the finish."
965,"<price>135<rating>93<whiskey>Cragganmore Triple Matured Edition, 48%<review>Bottled for Friends of the Classic Malts (which means most of you), this is Cragganmore in early autumnal guise. Dry leaves underfoot, ripe black fruits on the bushes, waxed jacket, chestnut, and a whiff of cedary smoke, opening into dried peach. The palate is thickly textured, with those fruits, dark chocolate, and pomegranate molasses. The immensely long finish gives you light pepper, smoke, and blackberry jam. Cragganmore at its very best, and at a great price. £80"
966,"<price>33<rating>80<whiskey>Red River Canadian Style Whiskey, 40%<review>Well, they got the proof right! From JEM Beverage (Carrollton, Texas). Sweet cedar and citrus in the nose, dominant and one-noted. Sweet on the tongue, with that fresh green cedar character and more sweet citrus; a touch of oak in the finish. Not a lot else."
967,"<price>40<rating>90<whiskey>Jameson Select Reserve Black Barrel, 40%<review>Bright sparks, these Jameson guys. This takes all the worldwide quality and balance of the standard bottle and adds a large dollop of pot still whiskey, providing plummy, rich fruits to the mix. They may have also upped the effects of oak, too, so there's an extra depth to the whiskey. Fans of the brand will love it, and pot still whiskey fans will appreciate an affordable full-flavored blend. (Value Pick)"
968,"<price>5285<rating>92<whiskey>Balvenie 1982 vintage, 51.1%<review>Fleeting green foliage on the early nose, then orange blossom and fragrant spices emerge, with vanilla that’s cut through by lemon. Big, fresh orange notes on the palate, with brittle toffee, and encroaching dark chocolate. The finish is long, with lingering chocolate, spicy oak, and citrus fruit. £4,000"
969,"<price>169<rating>86<whiskey>Douglas Laing Old Particular (distilled at Highland Park) 18 year old cask #0074, 48.4%<review>The Old Particular non-chill filtered single cask expression of Highland Park was distilled in November 1995, matured in a refill hogshead, and bottled in December 2013. The outturn was 322 bottles. Initially quite reticent on the nose, then toffee, cardboard, table salt, and very faint smoke. Quite viscous on the palate, and dry peat becomes relatively prominent, with allspice and sea salt. The finish offers licorice and lingering spices. £100"
970,"<price>43<rating>83<whiskey>Cardhu, 12 year old, 40%<review>This soft, bright, easy-going whisky is back in the U.S. after being absent for several years. Very fragrant, with vibrant fruit (nectarine, plum, guava, pineapple, clementine), honeyed vanilla, and subtle macadamia. Fairly light (a pre-dinner or leisurely afternoon malt, perhaps?), but evenly balanced. A gentle introduction to single malts for the blended scotch drinker. "
971,"<price>52<rating>80<whiskey>Draymans Highveld, 43%<review>The distillery makes big claims for this whisky, stressing that it shares the same high production values as Scotland, and the importance of altitude in the Highveld to maturation. This is the first whisky release from a Pretoria brewery, and it is fascinating. The nose is confused, but the palate is liqueur-like, with blackcurrant cordial and Vimto [a UK fruit-herb soda]. Its problem is its youth. It’s not yet fully integrated, and there are immature rootsy notes here, but it’s promising. €36 Currently not available in the U.S. "
972,"<price>379<rating>90<whiskey>Glenfarclas Family Casks 1990 (Cask #1362), 51.4%<review>Although the youngest of the range, this has still spent 24 years in a refill butt.  The nose is highly concentrated, with freshly-sharpened pencils and black cherry. There’s also some tobacco and then an earthy, armagnac-esque pruniness. Water brings out a resinous element, supple leather, and fruit syrups, allowing it to retain complexity. The driest of the range with the most obvious grip; for lovers of big, sherried, malts. £225"
973,"<price>30<rating>88<whiskey>Johnnie Walker Black Label 12 year old, 40%<review>Need you ask? An unmistakable classic and an exemplar of a blended Scotch whisky, famous around the world. Toffee, swirling caramel, whole almond, and mashed banana amid twisting white smoke. The palate has such poise, balance, and dexterity that it sets the standard for many less accomplished blends to aspire to. Conspicuously iconic, and the closest thing you will find to a complete whisky at this price."
974,"<price>130<rating>89<whiskey>Arran The Devil’s Punch Bowl Chapter II: Angels & Devils, 53.1%<review>Chapter II of Arran’s The Devil’s Punch Bowl embraces whisky from a total of 27 casks. These are seventeen oloroso sherry hogsheads (from 1997 and ’98), six standard bourbon barrels (2002), and four peated bourbon casks (2004). Juicy dark berries, malt, and soft cinnamon on the nose. Robust and fruity on the palate, with more dark berries, plain chocolate, a suggestion of vanilla, and black pepper. Long and drying in the earthy, mildly smoky finish, with aniseed and licorice."
975,"<price>80<rating>92<whiskey>Douglas Laing Old Particular (distilled at Cambus) 25 year old 1991, 62%<review>A single cask from a refill hoggie, this bursts with vanilla fudge, cracked peppercorn, wood shavings, and apple strudel. Incredibly fruity, with mouth-watering gummy bears, tangy orange, and dried pineapple, evolving from sweet fruits through to banana chews. Diluting down from its considerable cask strength only pumps up the juiciness. To conclude, a long, creamy finish like a banana shake. Evidently, terrific cask selection at work. (K&L Wines exclusive, 246 bottles)"
976,"<price>1200<rating>93<whiskey>Lagavulin 25 year old, 50.9%<review>This cask strength, sherry cask matured expression was released as part of Lagavulin’s bicentennial celebration. The nose offers new leather, tropical fruits, brittle toffee, and brine, backed by spicy peat smoke. Smoky sherry notes open up in time. The rich, well-mannered palate boasts sweet peat, brine, muted sherry, figs, gentle spices, tangerines, and lemons. Becoming more savory in the long, gently smoky, malty finish. Very drinkable at cask strength. A great Lagavulin. (8,000 bottles)"
977,"<price>50<rating>82<whiskey>The Silkie, 40%<review>Folklore tells of the Silkies, whose siren voices and beckoning, limpid eyes were irresistible to any man. From the team planning to build Sliabh Liag Distillery in County Donegal comes a palate of vanilla fudge, wood spices, and some vegetal notes following a nose of cold toffee brittle, fresh-cut herbs, and white pepper. A conspicuous grain character penetrates through, but this adds to a mature profile, making this blend stand out from the crowd of bourbon cask sweeties. €47"
978,"<price>60<rating>93<whiskey>Ardbeg An Oa, 46.6%<review>Ardbeg doles out occasional limited releases for their avid fans, but for nearly a decade the core range consisted of just three whiskies: 10 year old, Uigeadail, and Corryvreckan. The addition of An Oa, matured in a combination of virgin oak, Pedro Ximénez sherry, and bourbon barrels, and married in a French oak ‘gathering vat’ prior to bottling, marks a reason to celebrate. An Oa is a more approachable Ardbeg. It lacks some of the typical oiliness, but flavor and complexity abound with hot peat, black tea, and peppery cloves. Die-hard Ardbeg fans should have no complaints, and new converts have a real treat in store. Number 6 in the 2017 Top 20 
"
979,"<price>65<rating>88<whiskey>O'Danagher's American (Batch 1), 45%<review>This Dry Fly Distilling project is made from grains grown in Washington by farmer Tim O'Danaher [note that different spellings are correct]. Off to a good start: a luxuriously sweet cereal aroma puffs out of the glass as I pour, and adds softened dried fruits and hard candy when actively nosed. The new American oak (53-gallon barrel) is evident immediately, tempering the sweetness with spice, walnuts, and a hard woodiness. Finish is long, balanced, enticing. Definitely enjoyable as a sipper; an interesting new direction."
980,"<price>625<rating>86<whiskey>Glenglassaugh Aged 37 Years, 56%<review>Glenglassaugh distillery has released a number of country-exclusive expressions recently, including this 37 year old single cask (470 bottles) for North America, under the Master Distillers Selection banner. Initially, cornflakes and sherry on the nose, with developing vanilla and soft toffee. Becoming very sweet. Rich and notably spicy on the palate, with dates and dark chocolate. Persistently spicy in the finish, with background citrus fruits."
981,"<price>30<rating>78<whiskey>Crown Royal Black, 45%<review>Not exactly black. (More like russet, but Crown Royal Russet isn’t as catchy.) It’s nice to see the higher strength, and there’s definitely more flavor here than the standard Crown Royal or Crown Royal Reserve. But it’s missing the smoothness and elegance I cherish in other Crown Royal whiskies. Notes of molasses and maple syrup, accentuated by burnt fig, hints of pedro ximenez sherry, and raisin. There are suggestions of dark rum and bourbon in here. (Perhaps an alternative to both?) A whisky to drink on the rocks or as a mixer."
982,"<price>30<rating>89<whiskey>The Irishman Founder’s Reserve, 40%<review>This is a 70/30 blend of aged single malt whiskey and single pot still whiskey (though no grain whiskey), matured in bourbon barrels for around 7 to 9 years. Revel in the spicy aromas of clove, cinnamon, and star anise balanced with green apple, blossom honey, and dry, oily vanilla pods. The mouthfeel is weighty and dense from the pot still, yet rich in honey, spice, and vanilla, with a tongue-enveloping finish of custard cream biscuits."
983,"<price>185<rating>86<whiskey>Douglas Laing Old Particular Ledaig 1993 (distilled at Tobermory), 50.9%<review>This 21 year old from Tobermory is of the peated Ledaig variety, though sampling confirms that the level of peating in Ledaig malt has been significantly ramped up since this was produced. Sweet on the nose, with subtle aromatic smoke, unsalted butter, peaches in syrup, and heather honey. Luscious and viscous on the sweet, fruity palate, with honey, underlying soft spices, and some gentle smoke. Slowly drying in the finish to licorice root and black coffee. £110"
984,"<price>189<rating>87<whiskey>Wemyss Malts (distilled at Tormore) 1988 Floral Trellis, 46%<review>The nose is sweet (think barley sugar/boiled sweets) with little bits of wheat chaff flying around in the background with dried flower petals and drying cut grass. Opens dramatically with water into almond milk/horchata and flowers. The palate is sweet and lifted with those gentle florals to the fore. Instead of Tormore’s normal nagging rigidity, this flows sweetly over the tongue, leaving fruit leather, stewed rhubarb, and with water, rosewater and fresh wild strawberry. A lovely Tormore! £118"
985,"<price>250<rating>79<whiskey>Parker’s Heritage (distilled Spring 1991) 24 year old, 50%<review>Take just a moment to admire the color; it’s nearly red after 24 years. Then admire the fragrance, with florals, fruit, caramel, and vanilla bargaining for their time over prominent oak. Complexity of earth, caramel, cinnamon, vanilla, bitter chocolate, light cinnamon, sautéed mushrooms, watermelon Jolly Rancher, and a hint of tobacco. Eventually, woodiness and bitterness set in and dominate the palate. Too much wood."
986,"<price>160<rating>88<whiskey>Signatory (distilled at Glenlivet) 25 year old 1980 vintage (Cask #13735), 53.9%<review>Very fragrant. Spicy too, with notes of honeyed vanilla, peaches in cream, butterscotch, cinnamon, licorice (red and black), light nuttiness, and toasted oak on the finish. Nice mouthfeel, well-balanced, and quite rich for such an elegant whisky."
987,"<price>200<rating>94<whiskey>Black Bull, 30 year old, 50%<review>Well, what have we here? A blend of 50% malt and 50% grain (a very high malt content for a blend), and bottled at 50%, too! The whisky was blended first (very unusual), before being aged in sherry casks for its entire life. Antique amber/chestnut color. Full sherry impact, but never cloying -- the higher alcohol level and grain whisky cut through the sherry and add balance and drinkability. This is a fruity-confection delight, with raisin chutney, fig cake, orange almond scone, and chocolate-covered cherry. Add to the mix richly textured toffee, old oak, polished leather, and a cinnamon-spiced tobacco finish. A rare treat! A great old blend that malt drinkers will embrace."
988,"<price>11<rating>78<whiskey>Hunter Rye, 45%<review>A version of the classic Canadian Hunter from Sazerac, this is a very enjoyable whisky for sipping on ice or with a simple mixer. A dry nose is a bit closed showing soft spirit, caramel, and hints of maple. The sweet, hot, and slightly pulling palate has a grapefruit juice sharpness that keeps it fresh. Maple syrup sweetens a hot, longish finish that has the feel of black licorice. Simple, fun whisky."
989,"<price>975<rating>90<whiskey>The Dalmore 25 year old, 42%<review>Dalmore 25 year old comprises spirit matured initially in American oak casks, some of which is then transferred into first-fill bourbon barrels, while the remainder goes into Palomino fino sherry butts. The two batches are then reunited in bourbon barrels before a final finishing in tawny port pipes. Vanilla, figs, toffee, and ripe oranges on the festive nose, while the palate features more orange, peaches, milk chocolate, and sherry. The chocolate darkens in the lengthy finish, with ginger and licorice."
990,"<price>250<rating>85<whiskey>Jefferson’s Presidential Select 30 year old, 45.2%<review>A thick, heavyweight bourbon. Older doesn’t always taste older, and this 30 year old Jefferson’s tastes younger than its sibling 25 year old. The influence of 30 years in oak is evident with its polished leather, tobacco, and charred oak. However, there’s a surprising sweetness that props up the oak with maple syrup, blackberry jam, cinnamon roll, and vanilla cream. Very even-keeled. Yes, it tastes old, but with redeeming qualities. Dark and mysterious in personality."
991,"<price>55<rating>89<whiskey>Exclusive Regions Islay (undisclosed Islay single malt), 50%<review>A non-chill filtered single cask bottling from The Creative Whisky Co. This is a classic ‘full-on’ yet well-balanced Islay, with a nose of sweet peat, lemongrass, iodine, and brine. Ultimately, a whiff of aromatic pipe tobacco. Sweet fruit notes on the palate, developing smoky peat, and barbecued meat. Long in the finish, with spicy licorice, chili, and peat embers."
992,"<price>46<rating>92<whiskey>New Riff Bottled in Bond Rye, 50%<review>New Riff’s first whiskey releases were all bottled in bond from the start—a bold move for a brand new distillery. This rye proves it was the right decision. Complex and compelling, it shows maturity while retaining liveliness and verve. Grassy and herbal on the nose, it also has orange, cedar, sassafras, rose petals, and syrupy blackberries. The medium-weight palate balances clove, cedar oil, orange, berries, bubble gum, and cinnamon, which melt into an herbaceous, nutty, chocolate-rich finish. The patient drinker is rewarded, as aromas and flavors develop beautifully in the glass. Number 17 in the 2019 Top 20"
993,"<price>300<rating>90<whiskey>BenRiach 25 year old, 46.8%<review>This expression was aged in remade American oak bourbon hogsheads and French oak Burgundy barriques. Floral aromas on the early nose, with classic BenRiach spicy honey and apple juice emerging, along with vanilla and white pepper. The palate is full and rich, with almonds, more honey, port wine, apple pie, sweet oak, and cocoa powder. The finish is luxurious, with oak tannins and persistent wine notes."
994,"<price>53<rating>92<whiskey>Canadian Rockies 21 year old (batch 2), 46%<review>When Thomas Chen introduced Canadian Rockies in Taiwan, he chose Highwood Distillers in High River, Alberta, to supply a delicate yet fragrant, fruit-laden whisky that would please the Taiwanese palate. Now launching in Canada, Chen upped the bottling strength to 46% to boost the flavor. The complex, exotic fruit salad and faint lilac-like flowers that characterized the original remain, along with blistering white pepper, sweet oak caramels, and crisp, clean barrel notes on a luxurious, creamy palate. (Canada only) C$69"
995,"<price>35<rating>74<whiskey>Backbone Prime Blended Bourbon (batch 3), 52%<review>Up front it is extremely off-putting, with overwhelming medicinal, musk, and anise notes, but herbs, candied fruit, and shrubs offer a semblance of hope. Finally, caramel and vanilla appear, though short, overtaken by raw sweet corn and oats. Grain doesn’t go away; it almost masks specks of brown sugar and citrus before a short finish with an unrelenting bitterness."
996,"<price>350<rating>94<whiskey>Johnnie Walker Blue Label Legendary Eight, 43.8%<review>
A blend of eight whiskies including Oban, Brora, Cambus, and Lagavulin, producing a sweet yet complex dram that may surprise regular Blue Label drinkers. The nose has peach, marmalade, brown sugar sprinkled on caramel, fine pepper, soft peatiness, oiled wood, and campfire smokiness. The sugary palate yields toffee apple, fudge, vanilla, dried fruit, peach, and gentle spice, then fiery smoke, pepper, cocoa, milky coffee, and chocolate. Legendary indeed."
997,"<price>72<rating>87<whiskey>The Dalmore Valour, 40%<review>The Dalmore has added a new expression to its Travel Retail portfolio, namely Valour. This variant carries no age statement and maturation began in first-fill bourbon casks and 30 year old Matusalem oloroso sherry butts before undergoing a finishing period in port pipes. The result is a nose of black currants, caramel, and musty sherry. The palate is medium-sweet, with damsons, Jaffa oranges, and printer’s ink. Dark berries emerge in time. The finish embraces drying spices, figs, and mildly astringent oak."
998,"<price>125<rating>93<whiskey>Little Book Chapter 3 “The Road Home,” 61.3%<review>The chewy caramel aroma is bursting with all types of vanilla—frosted birthday cake, Nilla wafer, and pudding—along with honey-roasted peanuts and dark berry. On the palate, deep fruit and an explosion of spice flavors, including nutmeg, cinnamon, and cloves. For all its power, this whiskey remains impressively sippable, although it shows a more elegant side with some water added. A blend of 9 year old Knob Creek and Basil Hayden’s, 11 year old Booker’s, and 12 year old Baker’s bourbons, bottled at barrel proof and unfiltered."
999,"<price>90<rating>94<whiskey>Wild Turkey American Spirit 15 year old, 50%<review>A clean, well-rounded bourbon packed with flavor. Deep amber, with tinges of gold. Rich, silky aromas, with thickly textured, seamless flavors on the palate. Incredibly smooth, too, with interwoven notes of toffee, molasses, creamy vanilla, and candy corn. Underlying lush fruit, cinnamon, and fresh mint -- especially on the finish -- round everything out. Some of the previous “extra matured” Wild Turkey whiskeys have occasionally shown their age on the finish, being a little heavy on the oak. Not this one. Nicely done."
1000,"<price>71<rating>88<whiskey>Spirit of Yorkshire Filey Bay Second Release, 46%<review>Spirit of Yorkshire Distillery has two Forsyths pot stills and a four-plate copper
column, giving them plenty of options. An encouraging step toward their flagship
single malt, this lemon-pale dram evokes aromas of lemon, herb gardens, clotted
cream, marshmallow, and a little vanilla. It’s sweet as candy, with flavors of sugared
almonds, Sweethearts, butter icing, candied lemon peel, pancakes, and a finish of
peppery arugula leaves. (6,000 bottles) £55"
1001,"<price>130<rating>85<whiskey>Woodford Reserve Master’s Collection American Oak, 42.5%<review>The nose is a bit hot and generally restrained, with dried leaves, earthiness, and waxy crayons. Light-bodied, very soft, and somewhat juicy. Stone fruit and grain flavors combine for an enjoyable peach-pie quality before the tannic finish."
1002,"<price>50<rating>86<whiskey>Cuatro Series Pedro Ximenez, 46%<review>Full sherry and old leather on the nose. Dried fruits, and finally a hint of meat extract. Rich, sweet, and sherried on the palate, with nutty spices. Medium to long in the spicy finish, with black currant and raisin notes."
1003,"<price>65<rating>90<whiskey>The Lakes The One Sherry Cask-Finished, 46.6%<review>

Dark and mysterious, with prune juice, leather boots, aniseed, Brazil nut, and tobacco. There’s oloroso and PX influence on the palate, with prune, dried fig, baked orange, dark muscovado, chocolate-covered toffee, and hazelnut, with a finish of cocoa and smoky espresso notes. It nearly has the body and texture to sustain these heavy-duty flavors, but it’s a bit like a skinny kid in a leather jacket trying to act tough. £48"
